Datum,Lag, HD, HD, LD, LD, Domarcoach;
2017-12-26 15:15:00,LHF-KHK,Tobias Björk,Linus Öhlund,Jan Sandström,Johannes Käck,;
2017-12-26 15:15:00,RBK-LHC,Mikael Holm,Marcus Linde,Anders Jansson,Henrik Pihlblad,;
2017-12-26 15:15:00,HV71-OHK,Patric Bjälkander,Sören Persson,Rickard Nilsson,Andreas Malmqvist,;
2017-12-26 15:15:00,MIF-FHC,Wolmer Edqvist,Mikael Nord,Ludvig Lundgren,Viktor Hafsäter,;
2017-12-26 18:00:00,VLH-SAIK,Pehr Claesson,Morgan Johansson,Johan Löfgren,Anders Nyqvist,;
2017-12-26 18:00:00,BIF-FBK,Mikael Andersson,Andreas Harnebring,Jimmy Dahmén,Fredrik Altberg,Kjell Lind;
2017-12-26 18:00:00,MIK-DIF,Daniel Winge,Patrik Sjöberg,Daniel Persson,David Laksola,;
2017-12-28 19:00:00,LHF-MIK,Marcus Linde,Patric Bjälkander,Jan Sandström,David Laksola,;
2017-12-28 19:00:00,SAIK-RBK,Tobias Björk,Linus Öhlund,Johannes Käck,Tobias Nordlander,;
2017-12-28 19:00:00,OHK-FHC,Sören Persson,Andreas Harnebring,Örjan Åhlén,Emil Wernström,;
2017-12-28 19:00:00,FBK-MIF,Patrik Sjöberg,Mikael Holm,Gustav Jonsson,Simon Hillborg,;
2017-12-28 19:00:00,LHC-DIF,Wolmer Edqvist,Mikael Nord,Andreas Lundén,Rickard Nilsson,;
2017-12-28 19:00:00,HV71-VLH,Daniel Winge,Mikael Andersson,Anders Nyqvist,Andreas Malmqvist,;
2017-12-28 19:00:00,KHK-BIF,Morgan Johansson,Pehr Claesson,Ludvig Lundgren,Johan Löfgren,;
2017-12-30 15:15:00,FHC-MIK,Morgan Johansson,Marcus Linde,Johan Löfgren,Henrik Pihlblad,;
2017-12-30 15:15:00,SAIK-LHF,Linus Öhlund,Tobias Björk,Johannes Käck,Jan Sandström,;
2017-12-30 15:15:00,RBK-HV71,Patric Bjälkander,Sören Persson,Ludvig Lundgren,Anders Jansson,;
2017-12-30 18:00:00,VLH-FBK,Pehr Claesson,Mikael Holm,Andreas Malmqvist,Rickard Nilsson,;
2017-12-30 18:00:00,LHC-KHK,Patrik Sjöberg,Mikael Andersson,Fredrik Altberg,Jimmy Dahmén,;
2017-12-30 18:00:00,BIF-OHK,Andreas Harnebring,Mikael Nord,Simon Hillborg,Daniel Persson,Kjell Lind;
2017-12-30 18:00:00,DIF-MIF,Daniel Winge,Wolmer Edqvist,Tobias Nordlander,Andreas Lundén,Ulf Lindgren;
2018-01-02 19:00:00,MIK-LHF,Patrik Sjöberg,Daniel Winge,Tobias Nordlander,David Laksola,;
